Date,open_sp,high_sp,low_sp,close_sp,volume_sp
"Apr 25, 2017","2381.51","2392.48","2381.15","2388.61","4005820000"
"Apr 24, 2017","2370.33","2376.98","2369.19","2374.15","3711170000"
"Apr 21, 2017","2354.74","2356.18","2344.51","2348.69","3524160000"
"Apr 20, 2017","2342.69","2361.37","2340.91","2355.84","3648990000"
"Apr 19, 2017","2346.79","2352.63","2335.05","2338.17","3521160000"
"Apr 18, 2017","2342.53","2348.35","2334.54","2342.19","3272210000"
"Apr 17, 2017","2332.62","2349.14","2332.51","2349.01","2826890000"
"Apr 13, 2017","2341.98","2348.26","2328.95","2328.95","3146380000"
"Apr 12, 2017","2352.15","2352.72","2341.18","2344.93","3201300000"
"Apr 11, 2017","2353.92","2355.22","2337.25","2353.78","3120900000"
"Apr 10, 2017","2357.16","2366.37","2351.50","2357.16","2792570000"
"Apr 07, 2017","2356.59","2363.76","2350.74","2355.54","3054700000"
"Apr 06, 2017","2353.79","2364.16","2348.90","2357.49","3203250000"
"Apr 05, 2017","2366.59","2378.36","2350.52","2352.95","3780650000"
"Apr 04, 2017","2354.76","2360.53","2350.72","2360.16","3208340000"
"Apr 03, 2017","2362.34","2365.87","2344.73","2358.84","3418730000"
"Mar 31, 2017","2364.82","2370.35","2362.60","2362.72","3356740000"
"Mar 30, 2017","2361.31","2370.42","2358.58","2368.06","3159680000"
"Mar 29, 2017","2356.54","2363.36","2352.94","2361.13","3107670000"
"Mar 28, 2017","2339.79","2363.78","2337.63","2358.57","3369120000"
"Mar 27, 2017","2329.11","2344.90","2322.25","2341.59","3242300000"
"Mar 24, 2017","2350.42","2356.22","2335.74","2343.98","2978530000"
"Mar 23, 2017","2345.97","2358.92","2342.13","2345.96","3262400000"
"Mar 22, 2017","2343.00","2351.81","2336.45","2348.45","3575160000"
"Mar 21, 2017","2379.32","2381.93","2341.90","2344.02","4278890000"
"Mar 20, 2017","2378.24","2379.55","2369.66","2373.47","3061560000"
"Mar 17, 2017","2383.71","2385.71","2377.64","2378.25","5179820000"
"Mar 16, 2017","2387.71","2388.10","2377.18","2381.38","3368880000"
"Mar 15, 2017","2370.34","2390.01","2368.94","2385.26","3909490000"
"Mar 14, 2017","2368.55","2368.55","2358.18","2365.45","3173760000"
"Mar 13, 2017","2371.56","2374.42","2368.52","2373.47","3166650000"
"Mar 10, 2017","2372.52","2376.86","2363.04","2372.60","3434400000"
"Mar 09, 2017","2363.49","2369.08","2354.54","2364.87","3718450000"
"Mar 08, 2017","2369.81","2373.09","2361.01","2362.98","3814080000"
"Mar 07, 2017","2370.74","2375.12","2365.51","2368.39","3526300000"
"Mar 06, 2017","2375.23","2378.80","2367.98","2375.31","3251800000"
"Mar 03, 2017","2380.92","2383.89","2375.39","2383.12","3556670000"
"Mar 02, 2017","2394.75","2394.75","2380.17","2381.92","3824030000"
"Mar 01, 2017","2380.13","2400.98","2380.13","2395.96","4347630000"
"Feb 28, 2017","2366.08","2367.79","2358.96","2363.64","4212460000"
"Feb 27, 2017","2365.23","2371.54","2361.87","2369.75","3584680000"
"Feb 24, 2017","2355.73","2367.34","2352.87","2367.34","3832410000"
"Feb 23, 2017","2367.50","2368.26","2355.09","2363.81","4021770000"
"Feb 22, 2017","2361.11","2365.13","2358.34","2362.82","3473170000"
"Feb 21, 2017","2354.91","2366.71","2354.91","2365.38","3587520000"
"Feb 17, 2017","2343.01","2351.16","2339.58","2351.16","3516830000"
"Feb 16, 2017","2349.64","2351.31","2338.87","2347.22","3675900000"
"Feb 15, 2017","2335.58","2351.30","2334.81","2349.25","3785870000"
"Feb 14, 2017","2326.12","2337.58","2322.17","2337.58","3528040000"
"Feb 13, 2017","2321.72","2331.58","2321.42","2328.25","3352370000"
"Feb 10, 2017","2312.27","2319.23","2311.10","2316.10","3496600000"
"Feb 09, 2017","2296.70","2311.08","2296.61","2307.87","3681600000"
"Feb 08, 2017","2289.55","2295.91","2285.38","2294.67","3611950000"
"Feb 07, 2017","2295.87","2299.40","2290.16","2293.08","3452460000"
"Feb 06, 2017","2294.28","2296.18","2288.57","2292.56","3112390000"
